week,away_team,home_team,season,season_type,game_id,kickoff_utc,kickoff_et,kickoff_pt,home_abbr,away_abbr,venue,city,state_or_country,network,international,neutral_site,divisional,conference,game_label,notes
7,San Francisco 49ers,Houston,2025,REG,2025W07-SF@Houston,,TBD,,,SF,,,,1:00P FOX,,,,,,
7,Tampa Bay Buccaneers,New,2025,REG,2025W07-TB@New,,TBD,,,TB,,,,4:05P FOX,,,,,,
7,Tennessee Titans,Indianapolis,2025,REG,2025W07-TEN@Indianapolis,,TBD,,,TEN,,,,4:25P CBS,,,,,,
7,Washington Commanders,Kansas,2025,REG,2025W07-WAS@Kansas,,TBD,,,WAS,,,,8:15P ESPN/ABC,,,,,,
8,Arizona Cardinals,Dallas,2025,REG,2025W08-ARI@Dallas,,TBD,,,ARI,,,,8:15P ESPN/ABC,,,,,,
8,Atlanta Falcons,New,2025,REG,2025W08-ATL@New,,TBD,,,ATL,,,,1:00P CBS,,,,,,
8,Baltimore Ravens,Miami,2025,REG,2025W08-BAL@Miami,,TBD,,,BAL,,,,PRIME VIDEO,,,,,,
8,Carolina Panthers,Green,2025,REG,2025W08-CAR@Green,,TBD,,,CAR,,,,1:00P FOX,,,,,,
8,Chicago Bears,Cincinnati,2025,REG,2025W08-CHI@Cincinnati,,TBD,,,CHI,,,,1:00P CBS,,,,,,
8,Denver Broncos,Houston,2025,REG,2025W08-DEN@Houston,,TBD,,,DEN,,,,1:00P FOX,,,,,,
8,Indianapolis Colts,Pittsburgh,2025,REG,2025W08-IND@Pittsburgh,,TBD,,,IND,,,,1:00P CBS,,,,,,
8,Jacksonville Jaguars,Las,2025,REG,2025W08-JAX@Las,,TBD,,,JAX,,,,4:05P FOX,,,,,,
8,Kansas City Chiefs,Buffalo,2025,REG,2025W08-KC@Buffalo,,TBD,,,KC,,,,4:25P CBS,,,,,,
8,Los Angeles Chargers,Tennessee,2025,REG,2025W08-LAC@Tennessee,,TBD,,,LAC,,,,1:00P CBS,,,,,,
8,Minnesota Vikings,Detroit,2025,REG,2025W08-MIN@Detroit,,TBD,,,MIN,,,,1:00P FOX,,,,,,
8,Minnesota Vikings,Los Angeles Chargers,2025,REG,2025W08-MIN@LAC,,5:15 PM,,LAC,MIN,,,,PRIME VIDEO,,,,,,
8,New Orleans Saints,Los,2025,REG,2025W08-NO@Los,,TBD,,,NO,,,,4:05P FOX,,,,,,
8,Seattle Seahawks,Washington,2025,REG,2025W08-SEA@Washington,,TBD,,,SEA,,,,8:20P NBC,,,,,,
8,San Francisco 49ers,New,2025,REG,2025W08-SF@New,,TBD,,,SF,,,,1:00P CBS,,,,,,
9,Arizona Cardinals,Seattle,2025,REG,2025W09-ARI@Seattle,,TBD,,,ARI,,,,4:05P CBS,,,,,,
9,Atlanta Falcons,Indianapolis,2025,REG,2025W09-ATL@Indianapolis,,TBD,,,ATL,,,,9:30A NFLN,,True,,,,
9,Baltimore Ravens,Minnesota,2025,REG,2025W09-BAL@Minnesota,,TBD,,,BAL,,,,1:00P FOX,,,,,,
9,Buffalo Bills,Miami,2025,REG,2025W09-BUF@Miami,,TBD,,,BUF,,,,1:00P CBS,,,,,,
9,Cleveland Browns,New,2025,REG,2025W09-CLE@New,,TBD,,,CLE,,,,1:00P CBS,,,,,,
9,Detroit Lions,Washington,2025,REG,2025W09-DET@Washington,,TBD,,,DET,,,,4:25P FOX,,,,,,
9,Jacksonville Jaguars,Houston,2025,REG,2025W09-JAX@Houston,,TBD,,,JAX,,,,1:00P CBS,,,,,,
9,Los Angeles Rams,San,2025,REG,2025W09-LAR@San,,TBD,,,LAR,,,,4:25P FOX,,,,,,
9,Las Vegas Raiders,Denver,2025,REG,2025W09-LV@Denver,,TBD,,,LV,,,,PRIME VIDEO,,,,,,
9,New England Patriots,Tampa,2025,REG,2025W09-NE@Tampa,,TBD,,,NE,,,,1:00P CBS,,,,,,
9,New Orleans Saints,Carolina,2025,REG,2025W09-NO@Carolina,,TBD,,,NO,,,,1:00P FOX,,,,,,
9,New York Giants,Chicago,2025,REG,2025W09-NYG@Chicago,,TBD,,,NYG,,,,1:00P FOX,,,,,,
9,Philadelphia Eagles,Green,2025,REG,2025W09-PHI@Green,,TBD,,,PHI,,,,8:15P ESPN/ABC,,,,,,
9,Pittsburgh Steelers,Los,2025,REG,2025W09-PIT@Los,,TBD,,,PIT,,,,8:20P NBC,,,,,,
10,Baltimore Ravens,Cleveland,2025,REG,2025W10-BAL@Cleveland,,TBD,,,BAL,,,,4:25P CBS,,,,,,
10,Carolina Panthers,Atlanta,2025,REG,2025W10-CAR@Atlanta,,TBD,,,CAR,,,,1:00P FOX,,,,,,
10,Chicago Bears,Minnesota,2025,REG,2025W10-CHI@Minnesota,,TBD,,,CHI,,,,1:00P FOX,,,,,,
10,Cincinnati Bengals,Pittsburgh,2025,REG,2025W10-CIN@Pittsburgh,,TBD,,,CIN,,,,1:00P CBS,,,,,,
10,Dallas Cowboys,Las,2025,REG,2025W10-DAL@Las,,TBD,,,DAL,,,,8:15P ESPN/ABC,,,,,,
10,Detroit Lions,Philadelphia,2025,REG,2025W10-DET@Philadelphia,,TBD,,,DET,,,,8:20P NBC,,,,,,
10,Green Bay Packers,New,2025,REG,2025W10-GB@New,,TBD,,,GB,,,,1:00P FOX,,,,,,
10,Houston Texans,Tennessee,2025,REG,2025W10-HOU@Tennessee,,TBD,,,HOU,,,,1:00P FOX,,,,,,
10,Kansas City Chiefs,Denver,2025,REG,2025W10-KC@Denver,,TBD,,,KC,,,,4:25P CBS,,,,,,
10,Los Angeles Chargers,Jacksonville,2025,REG,2025W10-LAC@Jacksonville,,TBD,,,LAC,,,,1:00P CBS,,,,,,
10,New York Jets,New,2025,REG,2025W10-NYJ@New,,TBD,,,NYJ,,,,PRIME VIDEO,,,,,,
10,Seattle Seahawks,Los,2025,REG,2025W10-SEA@Los,,TBD,,,SEA,,,,4:05P FOX,,,,,,
10,San Francisco 49ers,Arizona,2025,REG,2025W10-SF@Arizona,,TBD,,,SF,,,,4:05P FOX,,,,,,
10,Tampa Bay Buccaneers,Buffalo,2025,REG,2025W10-TB@Buffalo,,TBD,,,TB,,,,1:00P CBS,,,,,,
10,Washington Commanders,Miami,2025,REG,2025W10-WAS@Miami,,TBD,,,WAS,,,,9:30A NFLN,,True,,,,
11,Atlanta Falcons,New,2025,REG,2025W11-ATL@New,,TBD,,,ATL,,,,4:25P FOX,,,,,,
11,Buffalo Bills,Houston,2025,REG,2025W11-BUF@Houston,,TBD,,,BUF,,,,PRIME VIDEO,,,,,,
11,Carolina Panthers,San,2025,REG,2025W11-CAR@San,,TBD,,,CAR,,,,TBD,,,,,,
11,Cleveland Browns,Las,2025,REG,2025W11-CLE@Las,,TBD,,,CLE,,,,4:05P CBS,,,,,,
11,Green Bay Packers,Dallas Cowboys,2025,REG,2025W11-GB@DAL,,5:20 PM,,DAL,GB,,,,NBC,,,,,,
11,Indianapolis Colts,Kansas,2025,REG,2025W11-IND@Kansas,,TBD,,,IND,,,,1:00P CBS,,,,,,
11,Jacksonville Jaguars,Arizona,2025,REG,2025W11-JAX@Arizona,,TBD,,,JAX,,,,4:05P CBS,,,,,,
11,Minnesota Vikings,Green,2025,REG,2025W11-MIN@Green,,TBD,,,MIN,,,,1:00P FOX,,,,,,
11,New England Patriots,Cincinnati,2025,REG,2025W11-NE@Cincinnati,,TBD,,,NE,,,,1:00P CBS,,,,,,
11,New York Giants,Detroit,2025,REG,2025W11-NYG@Detroit,,TBD,,,NYG,,,,1:00P FOX,,,,,,
11,New York Jets,Baltimore,2025,REG,2025W11-NYJ@Baltimore,,TBD,,,NYJ,,,,1:00P CBS,,,,,,
11,Philadelphia Eagles,Dallas,2025,REG,2025W11-PHI@Dallas,,TBD,,,PHI,,,,4:25P FOX,,,,,,
11,Pittsburgh Steelers,Chicago,2025,REG,2025W11-PIT@Chicago,,TBD,,,PIT,,,,1:00P CBS,,,,,,
11,Seattle Seahawks,Tennessee,2025,REG,2025W11-SEA@Tennessee,,TBD,,,SEA,,,,1:00P FOX,,,,,,
11,Tampa Bay Buccaneers,Los,2025,REG,2025W11-TB@Los,,TBD,,,TB,,,,8:20P NBC,,,,,,
12,Arizona Cardinals,Tampa,2025,REG,2025W12-ARI@Tampa,,TBD,,,ARI,,,,1:00P FOX,,,,,,
12,Atlanta Falcons,New,2025,REG,2025W12-ATL@New,,TBD,,,ATL,,,,1:00P FOX,,,,,,
12,Buffalo Bills,Pittsburgh,2025,REG,2025W12-BUF@Pittsburgh,,TBD,,,BUF,,,,4:25P CBS,,,,,,
12,Chicago Bears,Philadelphia,2025,REG,2025W12-CHI@Philadelphia,,TBD,,,CHI,,,,PRIME VIDEO,,,,,,
12,Cincinnati Bengals,Baltimore,2025,REG,2025W12-CIN@Baltimore,,TBD,,,CIN,,,,8:20P NBC,,,,,,
12,Denver Broncos,Washington,2025,REG,2025W12-DEN@Washington,,TBD,,,DEN,,,,8:20P NBC,,,,,,
12,Green Bay Packers,Detroit,2025,REG,2025W12-GB@Detroit,,TBD,,,GB,,,,1:00P FOX,,,,,,
12,Houston Texans,Indianapolis,2025,REG,2025W12-HOU@Indianapolis,,TBD,,,HOU,,,,1:00P CBS,,,,,,
