Week,Away Team,Home Team,Date,Time,Kickoff ISO
17,Pittsburgh Steelers,Cleveland,2025-12-28,,2025-12-28 00:00
17,Tampa Bay Buccaneers,Miami,2025-12-28,,2025-12-28 00:00
17,Los Angeles Rams,Atlanta,2025-12-29,,2025-12-29 00:00
18,Arizona Cardinals,Los,2025-01-03,,2025-01-03 00:00
18,Baltimore Ravens,Pittsburgh,2025-01-03,,2025-01-03 00:00
18,Carolina Panthers,Tampa,2025-01-03,,2025-01-03 00:00
18,Cleveland Browns,Cincinnati,2025-01-03,,2025-01-03 00:00
18,Dallas Cowboys,New,2025-01-03,,2025-01-03 00:00
18,Detroit Lions,Chicago,2025-01-03,,2025-01-03 00:00
18,Green Bay Packers,Minnesota,2025-01-03,,2025-01-03 00:00
18,Indianapolis Colts,Houston,2025-01-03,,2025-01-03 00:00
18,Kansas City Chiefs,Las,2025-01-03,,2025-01-03 00:00
18,Los Angeles Chargers,Denver,2025-01-03,,2025-01-03 00:00
18,Miami Dolphins,New,2025-01-03,,2025-01-03 00:00
18,New Orleans Saints,Atlanta,2025-01-03,,2025-01-03 00:00
18,New York Jets,Buffalo,2025-01-03,,2025-01-03 00:00
18,Seattle Seahawks,San,2025-01-03,,2025-01-03 00:00
18,Tennessee Titans,Jacksonville,2025-01-03,,2025-01-03 00:00
18,Washington Commanders,Philadelphia,2025-01-03,,2025-01-03 00:00
